GID1	GID2	EH23_Early_Flower	EH23_Foliage	EH23_Foliage_12light	EH23_Late_Flower	EH23_Roots	EH23_Shoottips
EH23a.chr1.v1.g000010.t1	EH23b.chr1.v1.g000010.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000020.t1	EH23b.chr1.v1.g000020.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000030.t1	EH23b.chr1.v1.g000030.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000040.t1	EH23b.chr1.v1.g000040.t1	A	A	A	A	A	A
EH23a.chr1.v1.g000050.t1	EH23b.chr1.v1.g000050.t1	A	A	A	A	A	A
EH23a.chr1.v1.g000060.t1	EH23b.chr1.v1.g000060.t1	C	C	C	C	C	B
EH23a.chr1.v1.g000080.t1	EH23b.chr1.v1.g000070.t1	C	C	C	B	C	C
EH23a.chr1.v1.g000090.t1	EH23b.chr1.v1.g000080.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000100.t1	EH23b.chr1.v1.g000090.t1	A	A	A	A	A	A
EH23a.chr1.v1.g000110.t1	EH23b.chr1.v1.g000100.t1	A	A	A	A	A	A
EH23a.chr1.v1.g000120.t1	EH23b.chr1.v1.g000110.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000140.t1	EH23b.chr1.v1.g000130.t1	A	A	C	A	A	A
EH23a.chr1.v1.g000150.t1	EH23b.chr1.v1.g000140.t1	C	C	C	B	C	C
EH23a.chr1.v1.g000160.t1	EH23b.chr1.v1.g000150.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000170.t1	EH23b.chr1.v1.g000160.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000180.t1	EH23b.chr1.v1.g000170.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000250.t1	EH23b.chr1.v1.g000230.t1	C	A	A	A	C	A
EH23a.chr1.v1.g000260.t1	EH23b.chr1.v1.g000240.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000270.t1	EH23b.chr1.v1.g000250.t1	C	C	A	C	C	C
EH23a.chr1.v1.g000280.t1	EH23b.chr1.v1.g000260.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000290.t1	EH23b.chr1.v1.g000270.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000300.t1	EH23b.chr1.v1.g000280.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000310.t1	EH23b.chr1.v1.g000290.t1	B	A	C	A	B	A
EH23a.chr1.v1.g000320.t1	EH23b.chr1.v1.g000300.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000330.t1	EH23b.chr1.v1.g000310.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000340.t1	EH23b.chr1.v1.g000320.t1	B	A	C	C	C	B
EH23a.chr1.v1.g000350.t1	EH23b.chr1.v1.g000330.t1	B	B	C	C	C	B
EH23a.chr1.v1.g000360.t1	EH23b.chr1.v1.g000340.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000370.t1	EH23b.chr1.v1.g000350.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000400.t1	EH23b.chr1.v1.g000370.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000400.t2	EH23b.chr1.v1.g000370.t2	C	C	C	C	C	C
EH23a.chr1.v1.g000410.t1	EH23b.chr1.v1.g000380.t1	A	A	C	A	C	A
EH23a.chr1.v1.g000420.t1	EH23b.chr1.v1.g000390.t1	C	A	C	C	C	B
EH23a.chr1.v1.g000430.t1	EH23b.chr1.v1.g000400.t1	C	A	A	C	C	C
EH23a.chr1.v1.g000440.t1	EH23b.chr1.v1.g000410.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000450.t1	EH23b.chr1.v1.g000420.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000460.t1	EH23b.chr1.v1.g000430.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000470.t1	EH23b.chr1.v1.g000440.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000480.t1	EH23b.chr1.v1.g000450.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000540.t1	EH23b.chr1.v1.g000490.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000550.t1	EH23b.chr1.v1.g000500.t1	C	C	C	B	C	C
EH23a.chr1.v1.g000560.t1	EH23b.chr1.v1.g000510.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000570.t1	EH23b.chr1.v1.g000520.t1	C	C	C	B	A	C
EH23a.chr1.v1.g000580.t1	EH23b.chr1.v1.g000530.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000590.t1	EH23b.chr1.v1.g000540.t1	A	C	C	C	C	C
EH23a.chr1.v1.g000610.t1	EH23b.chr1.v1.g000560.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000620.t1	EH23b.chr1.v1.g000570.t1	C	B	B	B	C	C
EH23a.chr1.v1.g000630.t1	EH23b.chr1.v1.g000580.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000650.t1	EH23b.chr1.v1.g000610.t1	B	B	C	B	B	B
EH23a.chr1.v1.g000690.t1	EH23b.chr1.v1.g000640.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000700.t1	EH23b.chr1.v1.g000650.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000710.t1	EH23b.chr1.v1.g000660.t1	C	A	C	C	C	C
EH23a.chr1.v1.g000720.t1	EH23b.chr1.v1.g000680.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000750.t1	EH23b.chr1.v1.g000700.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000760.t1	EH23b.chr1.v1.g000710.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000760.t2	EH23b.chr1.v1.g000710.t2	C	C	C	C	C	C
EH23a.chr1.v1.g000770.t1	EH23b.chr1.v1.g000720.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000820.t1	EH23b.chr1.v1.g000750.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000830.t1	EH23b.chr1.v1.g000760.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000830.t2	EH23b.chr1.v1.g000760.t2	C	C	C	C	C	C
EH23a.chr1.v1.g000850.t1	EH23b.chr1.v1.g000780.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000860.t1	EH23b.chr1.v1.g000810.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000870.t1	EH23b.chr1.v1.g000820.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000880.t1	EH23b.chr1.v1.g000830.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000890.t1	EH23b.chr1.v1.g000840.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000900.t1	EH23b.chr1.v1.g000850.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000910.t1	EH23b.chr1.v1.g000860.t1	C	A	C	A	C	C
EH23a.chr1.v1.g000920.t1	EH23b.chr1.v1.g000870.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000930.t1	EH23b.chr1.v1.g000880.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000950.t1	EH23b.chr1.v1.g000900.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000960.t1	EH23b.chr1.v1.g000910.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000970.t1	EH23b.chr1.v1.g000920.t1	C	C	C	C	C	C
EH23a.chr1.v1.g000980.t1	EH23b.chr1.v1.g000930.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001190.t1	EH23b.chr1.v1.g001000.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001220.t1	EH23b.chr1.v1.g001020.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001230.t1	EH23b.chr1.v1.g001030.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001240.t1	EH23b.chr1.v1.g001040.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001260.t1	EH23b.chr1.v1.g001060.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001270.t1	EH23b.chr1.v1.g001070.t1	C	C	C	B	C	C
EH23a.chr1.v1.g001290.t1	EH23b.chr1.v1.g001090.t1	C	C	C	B	C	B
EH23a.chr1.v1.g001330.t1	EH23b.chr1.v1.g001140.t1	C	B	B	C	C	C
EH23a.chr1.v1.g001340.t1	EH23b.chr1.v1.g001150.t1	A	A	A	A	C	A
EH23a.chr1.v1.g001370.t1	EH23b.chr1.v1.g001190.t1	B	C	C	C	C	C
EH23a.chr1.v1.g001380.t1	EH23b.chr1.v1.g001200.t1	C	C	C	A	C	C
EH23a.chr1.v1.g001390.t1	EH23b.chr1.v1.g001210.t1	C	C	C	C	A	C
EH23a.chr1.v1.g001400.t1	EH23b.chr1.v1.g001220.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001410.t1	EH23b.chr1.v1.g001230.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001420.t1	EH23b.chr1.v1.g001240.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001430.t1	EH23b.chr1.v1.g001250.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001440.t1	EH23b.chr1.v1.g001260.t1	C	C	C	C	C	B
EH23a.chr1.v1.g001450.t1	EH23b.chr1.v1.g001270.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001460.t1	EH23b.chr1.v1.g001280.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001470.t1	EH23b.chr1.v1.g001290.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001500.t1	EH23b.chr1.v1.g001310.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001510.t1	EH23b.chr1.v1.g001320.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001540.t1	EH23b.chr1.v1.g001350.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001550.t1	EH23b.chr1.v1.g001360.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001560.t1	EH23b.chr1.v1.g001370.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001570.t1	EH23b.chr1.v1.g001380.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001580.t1	EH23b.chr1.v1.g001390.t1	B	B	B	B	B	B
EH23a.chr1.v1.g001590.t1	EH23b.chr1.v1.g001400.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001600.t1	EH23b.chr1.v1.g001410.t1	B	B	B	B	C	B
EH23a.chr1.v1.g001610.t1	EH23b.chr1.v1.g001420.t1	B	B	B	B	B	C
EH23a.chr1.v1.g001620.t1	EH23b.chr1.v1.g001430.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001640.t1	EH23b.chr1.v1.g001450.t1	C	C	C	A	C	C
EH23a.chr1.v1.g001650.t1	EH23b.chr1.v1.g001460.t1	C	A	C	C	C	C
EH23a.chr1.v1.g001660.t1	EH23b.chr1.v1.g001470.t1	C	C	C	C	C	C
